L1Seed,PileUp,Total,Prescale0,Fired0,
L1_TripleMu_5SQ_3SQ_0OQ,-1,984,35,0,
L1_TripleMu_5SQ_3SQ_0OQ_DoubleMu_5_3_SQ_OS_Mass_Max9,-1,984,1,0,
L1_TripleMu_5SQ_3SQ_0_DoubleMu_5_3_SQ_OS_Mass_Max9,-1,984,1,0,
L1_TripleMu_5_3_3,-1,984,1,0,
L1_TripleMu_5_3_3_SQ,-1,984,1,0,
L1_TripleMu_5_3p5_2p5,-1,984,35,0,
L1_TripleMu_5_3p5_2p5_DoubleMu_5_2p5_OS_Mass_5to17,-1,984,1,0,
L1_TripleMu_5_3p5_2p5_OQ_DoubleMu_5_2p5_OQ_OS_Mass_5to17,-1,984,0,0,
L1_TripleMu_5_4_2p5_DoubleMu_5_2p5_OS_Mass_5to17,-1,984,1,0,
L1_TripleMu_5_5_3,-1,984,1,0,
L1_UnpairedBunchBptxMinus,-1,984,0,0,
L1_UnpairedBunchBptxPlus,-1,984,0,0,
L1_ZeroBias,-1,984,17881,0,
L1_ZeroBias_copy,-1,984,0,0,
﻿Name,-1,984,32743,0,
