fill,run,LS,avgpu
7328,325022,160,48.8
7328,325022,161,48.8
7328,325022,162,48.7
7328,325022,163,48.8
7328,325022,164,48.8
7328,325022,165,48.7
7328,325022,166,48.7
7328,325022,167,48.7
7328,325022,168,48.6
7328,325022,169,48.6
7328,325022,170,48.6
7328,325022,171,48.5
7328,325022,172,48.4
7328,325022,173,48.3
7328,325022,174,48.2
7328,325022,175,48.2
7328,325022,176,48.2
7328,325022,177,48.1
7328,325022,178,48.1
7328,325022,179,48.3
7328,325022,180,48.2
7328,325022,181,48.2
7328,325022,182,48.0
7328,325022,183,48.2
7328,325022,184,48.1
7328,325022,185,48.0
7328,325022,186,48.1
7328,325022,187,47.9
7328,325022,188,47.9
7328,325022,189,47.8
7328,325022,190,47.8
7328,325022,191,47.7
7328,325022,192,47.6
7328,325022,193,47.6
7328,325022,194,47.5
7328,325022,195,47.5
7328,325022,196,47.5
7328,325022,197,47.5
7328,325022,198,47.5
7328,325022,199,47.5
7328,325022,200,47.6
7328,325022,201,47.5
7328,325022,202,47.5
7328,325022,203,47.5
7328,325022,204,47.5
7328,325022,205,47.4
7328,325022,206,47.4
7328,325022,207,47.4
7328,325022,208,47.3
7328,325022,209,47.2
7328,325022,210,47.2
7328,325022,211,47.1
7328,325022,212,47.0
7328,325022,213,47.0
7328,325022,214,47.2
7328,325022,215,47.1
7328,325022,216,47.1
7328,325022,217,47.1
7328,325022,218,47.1
7328,325022,219,47.1
7328,325022,220,47.0
7328,325022,221,47.0
7328,325022,222,46.9
7328,325022,223,46.8
7328,325022,224,46.8
7328,325022,225,46.7
7328,325022,226,46.6
7328,325022,227,46.6
7328,325022,228,46.6
7328,325022,229,46.6
7328,325022,230,46.5
7328,325022,231,46.6
7328,325022,232,46.6
7328,325022,233,46.5
7328,325022,234,46.6
7328,325022,235,46.4
7328,325022,236,46.5
7328,325022,237,46.4
7328,325022,238,46.3
7328,325022,239,46.2
7328,325022,240,46.2
7328,325022,241,46.2
